id,line_id,route_long_name,route_short_name,start_destination,start_direction,end_destination,end_direction,route_description,route_fare_class,route_link,route_sort_order,route_color
Red,line-Red,Red Line,EMPTY,Ashmont/Braintree,South,Alewife,North,Rapid Transit,Rapid Transit,/routes/Red,10010,DA291C
Mattapan,line-Mattapan,Mattapan Line,EMPTY,Mattapan,Outbound,Ashmont,Inbound,Rapid Transit,Rapid Transit,/routes/Mattapan,10011,DA291C
Orange,line-Orange,Orange Line,EMPTY,Forest Hills,South,Oak Grove,North,Rapid Transit,Rapid Transit,/routes/Orange,10020,ED8B00
Green-B,line-Green,Green Line B,B,Boston College,West,Government Center,East,Rapid Transit,Rapid Transit,/routes/Green-B,10032,00843D
Green-C,line-Green,Green Line C,C,Cleveland Circle,West,Government Center,East,Rapid Transit,Rapid Transit,/routes/Green-C,10033,00843D
Green-D,line-Green,Green Line D,D,Riverside,West,Union Square,East,Rapid Transit,Rapid Transit,/routes/Green-D,10034,00843D
Green-E,line-Green,Green Line E,E,Heath Street,West,Medford/Tufts,East,Rapid Transit,Rapid Transit,/routes/Green-E,10035,00843D
Blue,line-Blue,Blue Line,EMPTY,Bowdoin,West,Wonderland,East,Rapid Transit,Rapid Transit,/routes/Blue,10040,003DA5
741,line-SLWaterfront,Logan Airport Terminals - South Station,SL1,Logan Airport Terminals,Outbound,South Station,Inbound,Frequent Bus,Rapid Transit,/routes/741,10051,7C878E
742,line-SLWaterfront,Design Center - South Station,SL2,Design Center,Outbound,South Station,Inbound,Frequent Bus,Rapid Transit,/routes/742,10052,7C878E
743,line-SLWaterfront,Chelsea Station - South Station,SL3,Chelsea Station,Outbound,South Station,Inbound,Frequent Bus,Rapid Transit,/routes/743,10053,7C878E
751,line-SLWashington,Nubian Station - South Station,SL4,Nubian Station,Outbound,South Station,Inbound,Frequent Bus,Local Bus,/routes/751,10055,7C878E
749,line-SLWashington,Nubian Station - Temple Place,SL5,Nubian Station,Outbound,Temple Place,Inbound,Frequent Bus,Local Bus,/routes/749,10056,7C878E
746,line-SLWaterfront,Silver Line Way - South Station,SLW,Silver Line Way,Outbound,South Station,Inbound,Frequent Bus,Rapid Transit,/routes/746,10057,7C878E
CR-Fairmount,line-Fairmount,Fairmount Line,EMPTY,Fairmount,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Fairmount,20001,80276C
CR-NewBedford,line-NewBedford,Fall River/New Bedford Line,EMPTY,Fall River or New Bedford,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-NewBedford,20002,80276C
CR-Fitchburg,line-Fitchburg,Fitchburg Line,EMPTY,Wachusett,Outbound,North Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Fitchburg,20003,80276C
CR-Worcester,line-Worcester,Framingham/Worcester Line,EMPTY,Worcester,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Worcester,20004,80276C
CR-Franklin,line-Franklin,Franklin/Foxboro Line,EMPTY,Forge Park/495 or Foxboro,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Franklin,20005,80276C
CR-Greenbush,line-Greenbush,Greenbush Line,EMPTY,Greenbush,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Greenbush,20006,80276C
CR-Haverhill,line-Haverhill,Haverhill Line,EMPTY,Haverhill,Outbound,North Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Haverhill,20007,80276C
CR-Kingston,line-Kingston,Kingston Line,EMPTY,Kingston,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Kingston,20008,80276C
CR-Lowell,line-Lowell,Lowell Line,EMPTY,Lowell,Outbound,North Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Lowell,20009,80276C
CR-Needham,line-Needham,Needham Line,EMPTY,Needham Heights,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Needham,20011,80276C
CR-Newburyport,line-Newburyport,Newburyport/Rockport Line,EMPTY,Newburyport or Rockport,Outbound,North Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Newburyport,20012,80276C
CR-Providence,line-Providence,Providence/Stoughton Line,EMPTY,Stoughton or Wickford Junction,Outbound,South Station,Inbound,Regional Rail,Commuter Rail,/routes/CR-Providence,20013,80276C
CR-Foxboro,line-Foxboro,Foxboro Event Service,EMPTY,Foxboro or Providence,Outbound,South Station or Foxboro,Inbound,Regional Rail,Special,/routes/CR-Foxboro,20014,80276C
Boat-F4,line-Boat-F4,Charlestown Ferry,EMPTY,Charlestown,Outbound,Long Wharf,Inbound,Ferry,Ferry,/routes/Boat-F4,30001,008EAA
Boat-F1,line-Boat-F1,Hingham/Hull Ferry,EMPTY,Hingham or Hull,Outbound,Long Wharf or Rowes Wharf,Inbound,Ferry,Ferry,/routes/Boat-F1,30002,008EAA
Boat-EastBoston,line-Boat-EastBoston,East Boston Ferry,EMPTY,Lewis Mall Wharf,Outbound,Long Wharf,Inbound,Ferry,Ferry,/routes/Boat-EastBoston,30005,008EAA
Boat-Lynn,line-Boat-Lynn,Lynn Ferry,EMPTY,Blossom Street Pier,Outbound,Long Wharf,Inbound,Ferry,Ferry,/routes/Boat-Lynn,30007,008EAA
Boat-F6,line-Boat-F6,Winthrop Ferry,EMPTY,Winthrop,Outbound,Winthrop,Inbound,Ferry,Ferry,/routes/Boat-F6,30008,008EAA
Boat-F7,line-Boat-F7,Quincy Ferry,EMPTY,Quincy,Outbound,Quincy,Inbound,Ferry,Ferry,/routes/Boat-F7,30009,008EAA
747,line-747,Sullivan Square Station - Ruggles Station,CT2,Sullivan Square Station,Outbound,Ruggles Station,Inbound,Local Bus,Local Bus,/routes/747,40020,FFC72C
708,line-171708,Beth Israel Deaconess Hospital - Andrew Station,CT3,Beth Israel Deaconess Hospital,Outbound,Andrew Station,Inbound,Local Bus,Local Bus,/routes/708,40030,FFC72C
1,line-1,Harvard Square - Nubian Station,1,Harvard Square,Outbound,Nubian Station,Inbound,Frequent Bus,Local Bus,/routes/1,50010,FFC72C
4,line-4,North Station - Design Center,4,North Station,Outbound,Design Center,Inbound,Commuter Bus,Local Bus,/routes/4,50040,FFC72C
7,line-7,City Point - Otis Street & Summer Street,7,City Point,Outbound,Otis Street & Summer Street,Inbound,Local Bus,Local Bus,/routes/7,50070,FFC72C
8,line-8,Harbor Point - Kenmore Station,8,Harbor Point,Outbound,Kenmore Station,Inbound,Local Bus,Local Bus,/routes/8,50080,FFC72C
9,line-9,City Point - Copley Square,9,City Point,Outbound,Copley Square,Inbound,Local Bus,Local Bus,/routes/9,50090,FFC72C
10,line-10,City Point - Arlington Station,10,City Point,Outbound,Arlington Station,Inbound,Local Bus,Local Bus,/routes/10,50100,FFC72C
11,line-11,City Point - Chauncy Street & Summer Street,11,City Point,Outbound,Chauncy Street & Summer Street,Inbound,Local Bus,Local Bus,/routes/11,50110,FFC72C
14,line-14,Roslindale Square - Heath Street,14,Roslindale Square,Outbound,Heath Street,Inbound,Local Bus,Local Bus,/routes/14,50140,FFC72C
15,line-15,Fields Corner Station - Ruggles Station,15,Fields Corner Station,Outbound,Ruggles Station,Inbound,Frequent Bus,Local Bus,/routes/15,50150,FFC72C
16,line-16,Forest Hills Station - Andrew Station or Harbor Point,16,Forest Hills Station,Outbound,Andrew Station or Harbor Point,Inbound,Local Bus,Local Bus,/routes/16,50160,FFC72C
17,line-1719,Fields Corner Station - Andrew Station,17,Fields Corner Station,Outbound,Andrew Station,Inbound,Local Bus,Local Bus,/routes/17,50170,FFC72C
18,line-18,Ashmont Station - Andrew Station,18,Ashmont Station,Outbound,Andrew Station,Inbound,Coverage Bus,Local Bus,/routes/18,50180,FFC72C
19,line-1719,Fields Corner Station - Kenmore or Ruggles Station,19,Fields Corner Station,Outbound,Kenmore or Ruggles Station,Inbound,Local Bus,Local Bus,/routes/19,50190,FFC72C
21,line-21,Ashmont Station - Forest Hills Station,21,Ashmont Station,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/21,50210,FFC72C
22,line-22,Ashmont Station - Ruggles Station via Talbot Ave,22,Ashmont Station,Outbound,Ruggles Station,Inbound,Frequent Bus,Local Bus,/routes/22,50220,FFC72C
23,line-23,Ashmont Station - Ruggles Station via Washington Street,23,Ashmont Station,Outbound,Ruggles Station,Inbound,Frequent Bus,Free,/routes/23,50230,FFC72C
24,line-242733,Wakefield Avenue & Truman Parkway - Ashmont Station,24,Wakefield Avenue & Truman Parkway,Outbound,Ashmont Station,Inbound,Local Bus,Local Bus,/routes/24,50240,FFC72C
26,line-26,Ashmont Station - Norfolk Street Loop,26,Ashmont Station,Outbound,Norfolk Street Loop,Inbound,Local Bus,Local Bus,/routes/26,50260,FFC72C
28,line-28,Mattapan Station - Ruggles Station,28,Mattapan Station,Outbound,Ruggles Station,Inbound,Frequent Bus,Free,/routes/28,50280,FFC72C
29,line-29,Mattapan Station - Jackson Square Station,29,Mattapan Station,Outbound,Jackson Square Station,Inbound,Local Bus,Free,/routes/29,50290,FFC72C
30,line-30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,30,Mattapan Station,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/30,50300,FFC72C
31,line-31,Mattapan Station - Forest Hills Station via Morton Street,31,Mattapan Station,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/31,50310,FFC72C
32,line-32,Wolcott or Cleary Square - Forest Hills Station,32,Wolcott or Cleary Square,Outbound,Forest Hills Station,Inbound,Frequent Bus,Local Bus,/routes/32,50320,FFC72C
33,line-242733,River Street & Milton Street - Mattapan Station,33,River Street & Milton Street,Outbound,Mattapan Station,Inbound,Local Bus,Local Bus,/routes/33,50330,FFC72C
34,line-3434E,Dedham Square - Forest Hills Station,34,Dedham Square,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/34,50340,FFC72C
34E,line-3434E,Walpole Center - Forest Hills Station,34E,Walpole Center,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/34E,50341,FFC72C
35,line-35,Dedham Mall or Stimson Street - Forest Hills Station,35,Dedham Mall or Stimson Street,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/35,50350,FFC72C
36,line-36,Millennium Park or VA Hospital - Forest Hills Station,36,Millennium Park or VA Hospital,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/36,50360,FFC72C
37,line-37,Baker Street & Vermont Street - Forest Hills Station,37,Baker Street & Vermont Street,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/37,50370,FFC72C
38,line-38,Wren Street - Forest Hills Station,38,Wren Street,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/38,50380,FFC72C
39,line-39,Forest Hills Station - Back Bay Station,39,Forest Hills Station,Outbound,Back Bay Station,Inbound,Frequent Bus,Local Bus,/routes/39,50390,FFC72C
40,line-4050,Georgetowne - Forest Hills Station,40,Georgetowne,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/40,50400,FFC72C
41,line-41,Centre Street & Eliot Street - JFK/UMass Station,41,Centre Street & Eliot Street,Outbound,JFK/UMass Station,Inbound,Local Bus,Local Bus,/routes/41,50410,FFC72C
42,line-42,Forest Hills Station - Nubian Station,42,Forest Hills Station,Outbound,Nubian Station,Inbound,Local Bus,Local Bus,/routes/42,50420,FFC72C
43,line-43,Ruggles Station - Park Street Station,43,Ruggles Station,Outbound,Park Street Station,Inbound,Local Bus,Local Bus,/routes/43,50430,FFC72C
44,line-44,Jackson Square Station - Ruggles Station,44,Jackson Square Station,Outbound,Ruggles Station,Inbound,Local Bus,Local Bus,/routes/44,50440,FFC72C
45,line-45,Franklin Park - Ruggles Station,45,Franklin Park,Outbound,Ruggles Station,Inbound,Local Bus,Local Bus,/routes/45,50450,FFC72C
47,line-47,"Central Square, Cambridge - Broadway Station",47,"Central Square, Cambridge",Outbound,Broadway Station,Inbound,Local Bus,Local Bus,/routes/47,50470,FFC72C
50,line-4050,Cleary Square - Forest Hills Station,50,Cleary Square,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/50,50500,FFC72C
51,line-51,Reservoir Station - Forest Hills Station,51,Reservoir Station,Outbound,Forest Hills Station,Inbound,Local Bus,Local Bus,/routes/51,50510,FFC72C
52,line-5259,Dedham Mall - Watertown Yard,52,Dedham Mall,Outbound,Watertown Yard,Inbound,Local Bus,Local Bus,/routes/52,50520,FFC72C
55,line-55,West Fenway - Arlington Station,55,West Fenway,Outbound,Arlington Station,Inbound,Coverage Bus,Local Bus,/routes/55,50550,FFC72C
57,line-5757A,Watertown Yard - Kenmore Station,57,Watertown Yard,Outbound,Kenmore Station,Inbound,Frequent Bus,Local Bus,/routes/57,50570,FFC72C
59,line-5259,Needham Junction - Watertown Square,59,Needham Junction,Outbound,Watertown Square,Inbound,Local Bus,Local Bus,/routes/59,50590,FFC72C
60,line-6065,Chestnut Hill - Kenmore Station,60,Chestnut Hill,Outbound,Kenmore Station,Inbound,Local Bus,Local Bus,/routes/60,50600,FFC72C
61,line-6170170,North Waltham - Waltham Center,61,North Waltham,Outbound,Waltham Center,Inbound,Local Bus,Local Bus,/routes/61,50610,FFC72C
